Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Gpr64	ENSMUST00000112408.3	G protein-coupled receptor 64 	177	2	2	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0291	0.1983	0.9588	-0.71	-0.71	0.37	2007, '09, '11
Ccl1	ENSMUST00000021043.4	chemokine (C-C motif) ligand 1 	5	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0076	0.0533	0.2938	-0.65	-0.65	0.52	2005, '07, '09, '11
Armcx1	ENSMUST00000051256.4	armadillo repeat containing, X-linked 1 	539	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0210	0.1369	0.5389	-0.59	-0.59	< 0.1	2007, '09, '11
Srl	ENSMUST00000090500.4	sarcalumenin 	29029	1	1	0	0	2	0	2	0	1	mmu-miR-21c	0.0276	0.1834	0.8204	-0.57	-0.59	0.50	2009, '11
Gm8773	ENSMUST00000101627.2	predicted gene 8773 	7	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0105	0.0724	0.3658	-0.56	-0.56	< 0.1	NULL
Zfp367	ENSMUST00000059817.5	zinc finger protein 367 	938	2	2	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0126	0.0899	0.5350	-0.56	-0.56	0.70	2009, '11
Aim1l	ENSMUST00000121391.2	absent in melanoma 1-like 	53	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0063	0.0448	0.2576	-0.56	-0.56	< 0.1	2007, '11
Il12a	ENSMUST00000029345.6	interleukin 12a 	67	1	1	0	0	0	0	0	0	1	mmu-miR-21a-5p	0.0111	0.0767	0.3839	-0.54	-0.54	0.70	2007, '09, '11
Armcx5	ENSMUST00000096321.2	armadillo repeat containing, X-linked 5 	5	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0185	0.1253	0.5953	-0.53	-0.53	< 0.1	2005, '07, '09, '11
Elf2	ENSMUST00000108053.3	E74-like factor 2 	1686	1	1	0	0	0	0	0	0	1	mmu-miR-21a-5p	0.0168	0.1134	0.5194	-0.53	-0.53	0.73	2005, '07, '09, '11
Yod1	ENSMUST00000049813.5	YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae) 	447	2	2	0	0	0	0	0	0	1	mmu-miR-21c	0.0211	0.1469	0.7746	-0.52	-0.54	0.80	2007, '09, '11
Dusp8	ENSMUST00000039926.4	dual specificity phosphatase 8 	337	1	1	0	0	1	0	0	1	0	mmu-miR-21a-5p	0.0192	0.1329	0.6868	-0.51	-0.52	0.70	2005, '07, '09, '11
Peli1	ENSMUST00000093290.6	pellino 1 	1135	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0203	0.1352	0.5988	-0.49	-0.49	0.68	2005, '07, '09, '11
Spry1	ENSMUST00000108109.2	sprouty homolog 1 (Drosophila) 	291	1	1	0	0	0	0	0	0	2	mmu-miR-21a-5p	0.0105	0.0727	0.3759	-0.49	-0.50	0.63	2005, '07, '09, '11
Fgf18	ENSMUST00000109363.2	fibroblast growth factor 18 	26	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0109	0.0730	0.3253	-0.48	-0.75	0.73	NULL
Acat1	ENSMUST00000034547.5	acetyl-Coenzyme A acetyltransferase 1 	5747	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0079	0.0553	0.3006	-0.47	-0.49	< 0.1	2007, '09, '11
Ube2d3	ENSMUST00000166033.1	ubiquitin-conjugating enzyme E2D 3 	5861	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0163	0.1089	0.4782	-0.46	-0.49	0.45	2005, '07, '09, '11
Smad7	ENSMUST00000026999.4	SMAD family member 7 	871	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0099	0.0690	0.3699	-0.45	-0.45	0.64	2005, '07, '09, '11
Ccl22	ENSMUST00000034231.3	chemokine (C-C motif) ligand 22 	8	1	1	0	0	0	0	0	0	0	mmu-miR-21c	0.0156	0.1058	0.4945	-0.44	-0.44	< 0.1	2007, '09, '11
Tgfbi	ENSMUST00000045173.8	transforming growth factor, beta induced 	158	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0159	0.1064	0.4664	-0.44	-0.44	0.67	2005, '07, '09, '11
Tmem170	ENSMUST00000034431.1	transmembrane protein 170 	83	1	1	0	0	0	0	0	0	0	mmu-miR-21a-5p	0.0131	0.0885	0.4012	-0.43	-0.49	0.51	2009, '11
