Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Acat3	ENSMUST00000043923.6	acetyl-Coenzyme A acetyltransferase 3 	2381	1	1	0	0	2	1	1	0	1	mmu-miR-133a-3p.2	0.0218	0.1515	0.7806	-1.15	-1.35	0.85	2009, '11
Gabpb2	ENSMUST00000107209.2	GA repeat binding protein, beta 2 	107	2	2	0	0	3	1	1	1	0	mmu-miR-133c	0.0158	0.1130	0.6757	-0.99	-1.37	0.86	2009, '11
Tagln2	ENSMUST00000111230.2	transgelin 2 	4629	2	1	1	0	0	0	0	0	0	mmu-miR-133c	0.0130	0.0910	0.4954	-0.99	-0.99	0.99	2009, '11
Lhfp	ENSMUST00000059562.8	lipoma HMGIC fusion partner 	3628	2	1	1	0	0	0	0	0	0	mmu-miR-133c	0.0151	0.1061	0.5828	-0.99	-0.99	0.84	2009, '11
Gm10320	ENSMUST00000170205.1	predicted pseudogene 10320 	15	1	1	0	0	0	0	0	0	0	mmu-miR-133c	0.0073	0.0512	0.2852	-0.91	-0.91	0.72	NULL
Celf4	ENSMUST00000025117.7	CUGBP, Elav-like family member 4 	12	2	2	0	0	0	0	0	0	1	mmu-miR-133a-3p.2	0.0157	0.1079	0.5390	-0.84	-0.84	0.98	2009, '11
Ptbp1	ENSMUST00000165704.2	polypyrimidine tract binding protein 1 	1338	2	1	0	1	0	0	0	0	1	mmu-miR-133c	0.0198	0.1405	0.8002	-0.83	-0.83	> 0.99	2009, '11
Clta	ENSMUST00000107846.4	clathrin, light polypeptide (Lca) 	16284	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0051	0.0366	0.2190	-0.81	-0.81	0.95	2009, '11
Uba2	ENSMUST00000102746.5	ubiquitin-like modifier activating enzyme 2 	3921	1	1	0	0	0	0	0	0	0	mmu-miR-133c	0.0211	0.1373	0.5473	-0.75	-0.78	0.90	2009, '11
Gpm6a	ENSMUST00000033915.7	glycoprotein m6a 	848	1	1	0	0	2	0	1	1	4	mmu-miR-133a-3p.2	0.0260	0.1748	0.8071	-0.75	-0.81	0.95	2009, '11
Cmpk1	ENSMUST00000030491.8	cytidine monophosphate (UMP-CMP) kinase 1 	645	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0124	0.0868	0.4601	-0.75	-0.75	0.93	2009, '11
Slc6a1	ENSMUST00000032454.5	solute carrier family 6 (neurotransmitter transporter, GABA), member 1 	7	1	1	0	0	1	0	1	0	1	mmu-miR-133a-3p.2	0.0226	0.1521	0.7130	-0.74	-0.74	0.94	2009, '11
Prrt2	ENSMUST00000159916.1	proline-rich transmembrane protein 2 	9	2	1	1	0	0	0	0	0	0	mmu-miR-133c	0.0075	0.0531	0.3103	-0.72	-0.80	0.93	2009, '11
Slc50a1	ENSMUST00000107460.2	solute carrier family 50 (sugar transporter), member 1 	103	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0083	0.0587	0.3301	-0.71	-0.72	0.37	2009, '11
Tfap2d	ENSMUST00000037294.7	transcription factor AP-2, delta 	5	1	1	0	0	0	0	0	0	0	mmu-miR-133c	0.0059	0.0417	0.2434	-0.71	-0.71	0.76	2009, '11
Sec61b	ENSMUST00000065678.5	Sec61 beta subunit 	12	1	1	0	0	0	0	0	0	0	mmu-miR-133c	0.0066	0.0464	0.2573	-0.70	-0.81	< 0.1	2009, '11
Faim	ENSMUST00000035038.2	Fas apoptotic inhibitory molecule 	509	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0064	0.0453	0.2635	-0.69	-0.74	0.21	2009, '11
Ube2q2	ENSMUST00000059555.9	ubiquitin-conjugating enzyme E2Q (putative) 2 	173	1	0	1	0	1	1	0	0	0	mmu-miR-133a-3p.2	0.0060	0.0438	0.2826	-0.68	-0.70	0.56	2009, '11
Dlx3	ENSMUST00000092768.6	distal-less homeobox 3 	5	1	1	0	0	1	0	1	0	0	mmu-miR-133a-3p.2	0.0174	0.1193	0.5908	-0.68	-0.68	0.20	2009, '11
3110018I06Rik	ENSMUST00000082269.2	RIKEN cDNA 3110018I06 gene 	5	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0054	0.0388	0.2400	-0.67	-0.67	0.68	NULL
Ppp2ca	ENSMUST00000020608.2	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform 	12540	1	1	0	0	1	0	0	1	0	mmu-miR-133a-3p.2	0.0029	0.0212	0.1383	-0.66	-0.69	0.95	2009, '11
Gdnf	ENSMUST00000022744.3	glial cell line derived neurotrophic factor 	12	2	0	2	0	0	0	0	0	1	mmu-miR-133a-3p.2	0.0121	0.0868	0.5360	-0.66	-0.66	0.99	2009, '11
Shisa5	ENSMUST00000026737.6	shisa homolog 5 (Xenopus laevis) 	2402	1	1	0	0	1	0	1	0	0	mmu-miR-133a-3p.2	0.0070	0.0508	0.3214	-0.66	-0.68	0.57	2009, '11
Fam57a	ENSMUST00000094014.4	family with sequence similarity 57, member A 	275	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0179	0.1194	0.5141	-0.66	-0.66	0.76	2009, '11
Ppp2r3c	ENSMUST00000021410.8	protein phosphatase 2, regulatory subunit B'', gamma 	25	1	0	1	0	2	1	1	0	1	mmu-miR-133c	0.0074	0.0538	0.3624	-0.66	-1.02	0.32	2009, '11
Efna4	ENSMUST00000029674.7	ephrin A4 	108	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0058	0.0416	0.2429	-0.65	-0.66	0.69	2009, '11
Sumo1	ENSMUST00000091374.3	SMT3 suppressor of mif two 3 homolog 1 (yeast) 	7	1	1	0	0	0	0	0	0	1	mmu-miR-133c	0.0048	0.0347	0.2277	-0.65	-0.65	0.42	2009, '11
Fam117b	ENSMUST00000036540.6	family with sequence similarity 117, member B 	1648	1	1	0	0	2	0	1	1	0	mmu-miR-133a-3p.2	0.0148	0.1059	0.6387	-0.63	-0.66	0.92	2009, '11
Tmod3	ENSMUST00000072232.7	tropomodulin 3 	1070	2	0	1	1	1	0	1	0	0	mmu-miR-133c	0.0165	0.1147	0.5891	-0.62	-0.93	0.92	2009, '11
Smarcd1	ENSMUST00000023759.4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 	1422	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0093	0.0651	0.3419	-0.61	-0.61	0.89	2009, '11
Enc1	ENSMUST00000041623.7	ectodermal-neural cortex 1 	2089	2	2	0	0	0	0	0	0	0	mmu-miR-133c	0.0176	0.1233	0.6610	-0.61	-0.65	0.34	2009, '11
Slc30a7	ENSMUST00000067485.3	solute carrier family 30 (zinc transporter), member 7 	257	1	1	0	0	1	0	0	1	1	mmu-miR-133c	0.0204	0.1402	0.7167	-0.61	-0.62	0.91	2009, '11
Sgms2	ENSMUST00000090246.4	sphingomyelin synthase 2 	321	1	1	0	0	0	0	0	0	0	mmu-miR-133a-3p.2	0.0101	0.0704	0.3664	-0.61	-0.61	0.93	2009, '11
