Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Scgb3a2	ENSMUST00000043803.7	secretoglobin, family 3A, member 2 	7102	2	1	0	1	0	mmu-miR-1a-1-5p				-0.81	-0.89	< 0.1
Gng8	ENSMUST00000078182.4	guanine nucleotide binding protein (G protein), gamma 8 	39	1	1	0	0	0	mmu-miR-1a-1-5p				-0.71	-0.71	< 0.1
Olfr960	ENSMUST00000077060.2	olfactory receptor 960 	5	1	1	0	0	0	mmu-miR-1a-1-5p				-0.67	-0.67	< 0.1
Acyp1	ENSMUST00000008966.7	acylphosphatase 1, erythrocyte (common) type 	2196	1	1	0	0	0	mmu-miR-1a-1-5p				-0.66	-0.68	< 0.1
Rbmxl2	ENSMUST00000098135.1	RNA binding motif protein, X-linked-like 2 	518	1	1	0	0	0	mmu-miR-1a-1-5p				-0.61	-0.61	< 0.1
Npffr2	ENSMUST00000048557.2	neuropeptide FF receptor 2 	6	1	1	0	0	0	mmu-miR-1a-1-5p				-0.60	-0.60	< 0.1
Zfp759	ENSMUST00000052716.7	zinc finger protein 759 	167	3	1	2	0	4	mmu-miR-1a-2-5p				-0.59	-0.81	< 0.1
A430093F15Rik	ENSMUST00000087947.3	RIKEN cDNA A430093F15 gene 	10	1	1	0	0	0	mmu-miR-1a-1-5p				-0.58	-0.58	< 0.1
Ube2q2	ENSMUST00000059555.9	ubiquitin-conjugating enzyme E2Q (putative) 2 	173	2	2	0	0	0	mmu-miR-1a-1-5p				-0.57	-0.60	< 0.1
Myct1	ENSMUST00000051809.8	myc target 1 	499	1	1	0	0	0	mmu-miR-1a-2-5p				-0.55	-0.55	< 0.1
Gpr135	ENSMUST00000050649.4	G protein-coupled receptor 135 	58	2	2	0	0	0	mmu-miR-1a-1-5p				-0.55	-0.55	< 0.1
Ms4a4b	ENSMUST00000035258.8	membrane-spanning 4-domains, subfamily A, member 4B 	23	2	0	2	0	1	mmu-miR-1a-2-5p				-0.51	-0.52	< 0.1
Dhx32	ENSMUST00000033290.6	DEAH (Asp-Glu-Ala-His) box polypeptide 32 	1376	1	1	0	0	0	mmu-miR-1a-2-5p				-0.51	-0.51	< 0.1
Mettl20	ENSMUST00000047531.10	methyltransferase like 20 	716	1	1	0	0	0	mmu-miR-1a-1-5p				-0.51	-0.51	< 0.1
Errfi1	ENSMUST00000073600.3	ERBB receptor feedback inhibitor 1 	13337	2	1	0	1	0	mmu-miR-1a-1-5p				-0.51	-0.51	< 0.1
Simc1	ENSMUST00000121401.2	SUMO-interacting motifs containing 1 	34	1	1	0	0	0	mmu-miR-1a-2-5p				-0.51	-0.51	< 0.1
Trmt10c	ENSMUST00000059052.8	tRNA methyltransferase 10C 	269	2	0	2	0	0	mmu-miR-1a-2-5p				-0.51	-0.51	< 0.1
Cdc37l1	ENSMUST00000050148.3	cell division cycle 37-like 1 	586	1	0	1	0	0	mmu-miR-1a-1-5p				-0.49	-0.52	< 0.1
